role_id,cast_role
322,Software Team Lead
323,Songs
324,Sound
325,Sound Design Assistant
326,Sound Designer
327,Sound Director
328,Sound Editor
329,Sound Effects
330,Sound Effects Designer
331,Sound Effects Editor
332,Sound Engineer
333,Sound Mixer
334,Sound Montage Associate
335,Sound Re-Recording Mixer
336,Sound Recordist
337,Sound mixer
338,Special Effects
339,Special Effects Coordinator
340,Special Effects Supervisor
341,Special Sound Effects
342,Stand In
343,Standby Painter
344,Steadicam Operator
345,Steadycam
346,Still Photographer
347,Story
348,Storyboard
349,Storyboard Designer
350,Studio Teachers
351,Stunt Coordinator
352,Stunt Double
353,Stunts
354,Stunts Coordinator
355,Supervising ADR Editor
356,Supervising Animator
357,Supervising Art Director
358,Supervising Dialogue Editor
359,Supervising Film Editor
360,Supervising Music Editor
361,Supervising Producer
362,Supervising Sound Editor
363,Supervising Sound Effects Editor
364,Supervising Technical Director
365,Systems Administrators & Support
366,Tailor
367,Tattoo Designer
368,Tattooist
369,Technical Supervisor
370,Techno Crane Operator
371,Telecine Colorist
372,Teleplay
373,Temp Music Editor
374,Temp Sound Editor
375,Thanks
376,Theatre Play
377,Third Assistant Director
378,Title Designer
379,Title Graphics
380,Translator
381,Transportation Captain
382,Transportation Co-Captain
383,Transportation Coordinator
384,Underwater Camera
385,Underwater Director of Photography
386,Underwater Gaffer
387,Unit Manager
388,Unit Production Manager
389,Unit Publicist
390,Utility Sound
391,Utility Stunts
392,VFX Artist
393,VFX Editor
394,VFX Production Coordinator
395,VFX Supervisor
396,Video Assist Operator
397,Video Game
398,Visual Development
399,Visual Effects
400,Visual Effects Art Director
401,Visual Effects Coordinator
402,Visual Effects Design Consultant
403,Visual Effects Designer
404,Visual Effects Editor
405,Visual Effects Producer
406,Visual Effects Supervisor
407,Visual Effects Technical Director
408,Vocal Coach
409,Wardrobe Supervisor
410,Wig Designer
411,Wigmaker
412,Writer
413,actor
