cast_id,cast_name,cast_gender
19159,Thomas Haden Church,2
2983,Mark Strong,2
8785,Ciaru00e1n Hinds,2
17287,Dominic West,2
17648,James Purefoy,2
17419,Bryan Cranston,2
6416,Polly Walker,1
57675,Daryl Sabara,2
89830,Arkie Reece,2
205278,Davood Ghadami,2
218345,Pippa Nixon,1
1390394,James Embree,2
1518112,Philip Philmar,0
1721985,Emily Tierney,1
1721992,Edmund Kente,2
118617,Nicholas Woodeson,2
1722006,Kyle Agnew,2
130129,Don Stark,2
65716,Josh Daugherty,2
1724736,Jared Cyr,2
62082,Christopher Goodman,2
1367241,Amanda Clayton,1
1844319,Joseph Billingiere,0
2219,Tobey Maguire,2
205,Kirsten Dunst,1
17051,James Franco,2
17052,Topher Grace,2
18997,Bryce Dallas Howard,1
18998,Rosemary Harris,1
2505,James Cromwell,2
18999,J.K. Simmons,2
9207,Theresa Russell,1
19152,Dylan Baker,2
5502,Bill Nunn,2
9281,Elizabeth Banks,1
11769,Ted Raimi,2
6585,Perla Haney-Jardine,1
19153,Cliff Robertson,0
2368,Elya Baskin,2
20645,Mageina Tovah,1
20580,Joe Manganiello,2
7624,Stan Lee,2
11357,Bruce Campbell,2
19155,Christopher Young,2
7628,Grant Curtis,0
19154,Daniel Gillies,2
19326,John Paxton,0
59206,Becky Ann Baker,1
78311,Steve Valentine,2
116627,Hal Fishman,0
113608,Lucy Gordon,1
99932,Toni Wynne,1
552526,Andre B. Blake,2
1226471,Tim Maculan,2
159456,Marc Vann,2
105701,Joe Bays,2
66653,Gregg Daniel,2
1451076,Rogelio T. Ramos,2
11766,Timothy Patrick Quill,0
1781288,Kathryn Bryding,1
1739821,Joe Virzi,0
1735986,Bill E. Rogers,0
1781297,Michael Alexander,0
1435965,April Parker-Jones,1
1781298,Edward Padilla,0
233298,Robert Curtis Brown,2
60490,Paul Terrell Clayton,2
175606,Carolyn Neff,0
1656631,Christina Cindrich,1
173163,Sonya Maddox,0
1781299,Derrick 'Phoenix' Thomas,0
1781300,Jessi Collins,1
1781301,Michael McLaughlin,0
1781302,Anne Gartlan,1
53257,Emilio Rivera,2
92486,Keith Woulard,0
52946,Reynaldo Gallegos,2
1781303,Jim Coope,0
98396,Dean Edwards,0
558055,Margaret Laney,1
1781304,Aimee Miles,1
1781307,Tanya Bond,1
193946,Mark Kubr,2
1446719,Tony Besson,0
1781308,Ramon Adams,0
1781309,A.J. Adelman,0
1781310,Angelis Alexandris,0
1781311,Dawn Marie Anderson,1
1653331,Frank Anello,2
1781312,Anya Avaeva,1
111243,David Backus,2
1781313,Tiffany L. Baker,1
1781194,Marc C. Cancassi,0
1781318,Sujeilee Candele,1
454223,Michael Ciesla,0
232042,Irina Costa,1
1496942,John Crann,0
1209717,Crystal Marie Denha,1
1781325,Amy V. Dewhurst,1
1509622,Paul Edney,2
1610271,Natalie Fabry,1
1781326,Keith Fausnaught,0
1781199,Amanda Florian,1
1781205,Brianna Leann Florian,1
1781217,Tiffany Ashley Florian,1
1781327,Shaun Patrick Flynn,0
1636759,Logan Fry,0
1781328,Kevin Fung,0
1781329,Tony Galtieri,0
1781330,Chuck Gerena,0
1639432,Brian Hopson,0
1781331,Claude Jay,0
1781332,Julie Jei,1
1316667,Andrew James Jones,0
105632,Natalie Jones,1
1781333,Christopher Jude,0
1292243,Brittany Krall,1
1781334,Alyssa Lakota,1
1752230,Tia Latrell,0
1781221,Linda Lee,1
570374,Pierangeli Llinas,1
1246221,Bernadette Lords,1
1781344,Sandrine Marlier,1
1781345,Laura McDavid,1
1781346,Natalie McNeil,1
1781347,Daniel Mignault,0
163930,Martha Millan,1
1781348,Michele-Nanette Miller,1
1697017,Claudia Katz Minnick,1
1781349,Robert Myers,0
1178562,Jen Oda,1
1344665,Anjelia Pelay,1
118389,Nick Poltoranin,0
1781350,Vanessa Reseland,1
1781351,La Rivers,0
60127,Bria Roberts,1
1781352,Luis Rosa,0
1422991,Vanessa Ross,1
106147,Brenna Roth,1
1691382,Shade Rupe,0
1781353,Arick Salmea,0
1367833,Eric Shackelford,0
1781354,Daniel Shafer,0
1781355,Abbey Skinner,1
1781356,Kristin Somo,1
1340943,Jennifer Sparks,1
211964,Christopher Stadulis,0
1781358,Jimmy Star,0
1778304,Arne Starr,0
1781359,Liam Stone,0
1781360,Tajna Tanovic,1
1454306,Aija Terauda,1
1781361,Brigid Turner,0
1781362,Evelyn Vaccaro,1
1781365,Nick Vlassopoulos,0
1614425,Sincerely A. Ward,1
567242,Silq Webster,0
1781366,Graig F. Weich,0
1781368,Fredrick Weiss,0
1225878,Jennifer Weston,1
1781371,Trenton Willey,0
1368459,Ray Wineteer,2
69899,Zachary Levi,2
16855,Mandy Moore,1
2517,Donna Murphy,1
2372,Ron Perlman,2
22132,M.C. Gainey,2
4175,Jeffrey Tambor,2
18,Brad Garrett,2
1219029,Paul F. Tompkins,0
10460,Richard Kiel,0
1273208,Delaney Rose Stein,0
121830,Nathan Greno,2
76595,Byron Howard,2
61958,Tim Mertens,2
3223,Robert Downey Jr.,2
74568,Chris Hemsworth,2
103,Mark Ruffalo,2
16828,Chris Evans,2
1245,Scarlett Johansson,1
17604,Jeremy Renner,2
13548,James Spader,2
2231,Samuel L. Jackson,2
1896,Don Cheadle,2
27428,Aaron Taylor-Johnson,2
550843,Elizabeth Olsen,1
6162,Paul Bettany,2
71189,Cobie Smulders,1
53650,Anthony Mackie,2
39459,Hayley Atwell,1
17605,Idris Elba,2
1817,Linda Cardellini,1
1640,Stellan Skarsgu00e5rd,2
1401531,Claudia Kim,1
3491,Thomas Kretschmann,2
1333,Andy Serkis,2
1146,Julie Delpy,1
7030,Henry Goodman,2
1709130,Chris Luca,0
1265796,Brian Schaeffer,0
1196961,Dominique Provost-Chalkley,1
1264233,Isaac Andrews,0
1760858,Gareth Kieran Jones,0
1760859,Chan Woo Lim,0
1760860,Minhee Yeo,0
1504934,Bentley Kalu,2
30086,Julian Bleach,2
1029031,Christopher Beasley,0
1171654,Vuyo Dabula,0
1367843,Nondumiso Tembe,0
1760872,Kabelo Thai,0
1760864,Lele Leowaba,0
1760865,Mandla Gaduka,0
1760866,Harriet Manamela,0
1760867,Beulah Hashe,0
1760868,Musca Kumalo,0
1760869,Mathapelo September,0
1665609,Antony Acheampong,0
1760871,Chioma Anyanwu,0
1760879,Ben Sakamoto,0
1405571,Imogen Poynton,0
1405570,Isabella Poynton,0
1583054,Ingvild Deila,0
1760881,Sunny Yeo,0
1760882,Namju Go,0
1760884,Mina Kweon,0
1590327,Earl T. Kim,2
1760886,Arthur Lee,0
1760888,Verity Hewlett,0
1760890,Michael Matovski,0
1756778,Alma Noce,0
1760891,Riccardo Richetta,0
1760892,Constanza Ruff,0
1760893,Monty Mclaren-Clark,0
6092,Julia Krynke,0
1760898,Tony Christensen,0
1760899,Ian Kay,0
1015829,Barry Aird,0
43373,Aaron Himelstein,2
62105,Kerry Condon,1
1760900,Jaiden Stafford,0
1394333,Dilyana Bouklieva,1
16851,Josh Brolin,2
1480144,Joti Nagra,1
1429470,Nick W. Nicholson,0
1371439,Daniel Westwood,0
10980,Daniel Radcliffe,2
10989,Rupert Grint,2
10990,Emma Watson,1
10993,Tom Felton,2
5658,Michael Gambon,2
388,Jim Broadbent,2
1283,Helena Bonham Carter,1
1923,Robbie Coltrane,2
10978,Maggie Smith,1
4566,Alan Rickman,2
9191,Timothy Spall,2
11207,David Thewlis,2
477,Julie Walters,1
96841,Matthew Lewis,2
140367,Evanna Lynch,1
10991,Bonnie Wright,1
140368,Oliver Phelps,2
96851,James Phelps,2
20999,Mark Williams,2
11184,Warwick Davis,2
3300,Natalia Tena,1
234933,Katie Leung,1
60348,Dave Legeno,2
10988,Geraldine Somerville,1
15737,Helen McCrory,1
234934,Freddie Stroma,2
11180,David Bradley,2
964834,Frank Dillane,2
1114487,Hero Fiennes-Tiffin,0
9138,Gemma Jones,1
234926,Afshan Azad,1
234925,Shefali Chowdhury,0
174398,Georgina Leonidas,1
234922,Devon Murray,2
234929,Anna Shaffer,1
11212,Josh Herdman,2
956224,Jamie Waylett,2
234928,Scarlett Byrne,1
234924,Jessie Cave,1
234927,Louis Cordice,0
234923,Alfie Enoch,0
1796454,Robert Knox,0
568374,William Melling,0
52888,Paul Ritter,2
234930,Isabella Laughland,0
202032,Ralph Ineson,2
568378,Suzanne Toase,1
234919,Rod Hunt,2
89387,Elarica Gallacher,0
880,Ben Affleck,2
73968,Henry Cavill,2
90633,Gal Gadot,1
9273,Amy Adams,1
44735,Jesse Eisenberg,2
2882,Diane Lane,1
16940,Jeremy Irons,0
2975,Laurence Fishburne,2
18686,Holly Hunter,1
59233,Scoot McNairy,2
208296,Callan Mulvey,2
1156024,Tao Okamoto,1
20089,Jena Malone,1
1511243,Brandon Spink,2
62220,Lauren Cohan,1
87447,Hugh Maguire,2
56556,Michael Cassidy,2
1106260,Alan D. Purwin,2
1190987,Dan Amboyer,0
1272969,Rebecca Buller,0
9464,Harry Lennix,2
1272970,Christina Wren,0
1622651,Jade Chynoweth,1
91403,Chad Krowchuk,0
1269,Kevin Costner,2
132157,Ezra Miller,2
17178,Patrick Wilson,2
335,Michael Shannon,2
70177,Charlie Rose,2
1018992,Vikram Gandhi,2
1236584,Andrew Sullivan,2
550307,Neil deGrasse Tyson,2
12219,Jon Stewart,2
1227867,Soledad O'Brien,0
1696036,Erika R. Erickson,1
1596937,Dana Bash,1
1514160,Nancy Grace,1
1217309,Anderson Cooper,0
1696037,Brooke Baldwin,1
17832,Carla Gugino,1
117642,Jason Momoa,2
3977,Joe Morton,2
1313559,Ray Fisher,2
1636956,Joseph Cranford,2
1377087,Emily Peterson,0
47296,Jeffrey Dean Morgan,2
19300,Sammi Rotibi,2
1467216,Hanna Dworkin,1
1691930,Tiffany L. Addison,1
1471446,Owais Ahmed,2
1691935,Anish Jethmalani,2
