movie_id,title,release,vote_average,vote_count
9360,Anaconda,1997,4.7,610
9366,Donnie Brasco,1997,7.4,1147
9390,Jerry Maguire,1996,6.7,913
9400,Set It Off,1996,6.9,66
9414,The Man Who Knew Too Little,1997,6.5,125
9416,Money Talks,1997,5.9,87
9427,The Full Monty,1997,6.8,363
9433,The Edge,1997,6.7,349
9434,Grosse Pointe Blank,1997,6.9,275
9440,Primary Colors,1998,6.1,94
9444,Anastasia,1997,7.4,1432
9457,Deep Rising,1998,6,154
9490,Half Baked,1998,6.4,177
9495,The Crow,1994,7.3,953
9504,Glengarry Glen Ross,1992,7.5,323
9549,The Right Stuff,1983,7.3,235
9566,The Fan,1996,5.7,194
9574,Flubber,1997,5.3,695
9593,Last Action Hero,1993,6.1,712
9598,Babe,1995,6,733
9603,Clueless,1995,6.9,803
9607,Super Mario Bros.,1993,4,232
9614,Happy Gilmore,1996,6.5,755
9623,The Juror,1996,5.5,89
9625,The Glimmer Man,1996,4.7,100
9665,Glory,1989,7.4,383
9691,Assassins,1995,6,387
9716,Everyone Says I Love You,1996,6.5,147
9737,Bad Boys,1995,6.5,1699
9746,Kundun,1997,6.8,91
9770,Mad City,1997,5.9,81
9772,Air Force One,1997,6.2,840
9800,Philadelphia,1993,7.6,988
9802,The Rock,1996,6.9,1456
9804,Waterworld,1995,5.9,992
9823,Mortal Kombat: Annihilation,1997,3.8,221
9826,The Phantom,1996,4.7,136
9879,Striptease,1996,4.4,205
9894,The Cable Guy,1996,5.7,594
9922,The Postman,1997,6.1,299
10003,The Saint,1997,5.9,302
10153,Sphere,1998,5.8,476
10163,The Lawnmower Man,1992,5.4,197
10215,Sliding Doors,1998,6.5,354
10217,The Sweet Hereafter,1997,6.8,103
10218,Swingers,1996,6.8,253
10280,Thinner,1996,5.5,124
10329,Congo,1995,5,213
10336,Spawn,1997,5,336
10357,Volcano,1997,5.2,376
10395,Wolf,1994,6,216
10428,Hackers,1995,6.2,398
10445,Shadowlands,1993,6.8,61
10478,Tin Cup,1996,5.9,150
10530,Pocahontas,1995,6.7,1457
10533,The Scarlet Letter,1995,5.5,108
10534,White Squall,1996,6.3,86
10537,The Doors,1991,6.7,275
10634,Friday,1995,7,503
10684,Courage Under Fire,1996,6.2,232
10705,Henry V,1989,7.4,71
10765,Private Benjamin,1980,6,102
10802,Showgirls,1995,4.9,256
10806,In & Out,1997,6.3,177
10861,Maximum Risk,1996,5.2,101
10871,Switchback,1997,5.8,52
10890,Stripes,1981,6.5,249
10895,Pinocchio,1940,6.9,1355
11015,The Relic,1997,5.8,130
11062,City Hall,1996,6,67
11066,Boomerang,1992,5.4,134
11113,My Fair Lady,1964,7.4,352
11202,Patton,1970,7.3,323
11228,Daylight,1996,5.8,378
11229,Freeway,1996,6.5,95
11258,Hard Rain,1998,5.5,179
11298,The Howling,1981,6.4,161
11302,Bananas,1971,6.7,165
11306,Extreme Measures,1996,5.7,80
11382,Bullets Over Broadway,1994,7,130
11386,The Crying Game,1992,6.9,176
11395,The Santa Clause,1994,6.3,489
11412,The Long Kiss Goodnight,1996,6.5,314
11517,Money Train,1995,5.4,222
11543,Kingpin,1996,6.7,244
11561,Sleeper,1973,7,200
11592,Serial Mom,1994,6.4,135
11667,Street Fighter,1994,4.1,325
11702,The Replacement Killers,1998,6,127
11780,Rob Roy,1995,6.5,148
11827,Heavy Metal,1981,6.2,148
11831,Amistad,1997,6.8,316
11858,Renaissance Man,1994,5.9,81
11863,Jade,1995,5.2,44
11934,The Hudsucker Proxy,1994,7.1,275
11967,Young Guns,1988,6.6,258
11969,Tombstone,1993,7.4,626
11971,Much Ado About Nothing,1993,7.2,189
11975,The Rainmaker,1997,6.7,235
11980,The Prophecy,1995,6.4,138
12123,Chain Reaction,1996,5.3,284
12160,Wyatt Earp,1994,6.5,202
12498,Sling Blade,1996,7.4,231
13685,Bottle Rocket,1996,6.8,281
14275,Hoop Dreams,1994,7.7,87
16052,Selena,1997,7,114
17795,My Fellow Americans,1996,6.3,46
17834,A Simple Wish,1997,5.5,46
18550,Fled,1996,5.2,47
20156,Exotica,1994,6.5,64
20737,Air Bud,1997,5.3,106
21612,The Funeral,1996,7.3,31
22479,Kansas City,1996,6.1,12
23570,The Pallbearer,1996,4.6,30
25189,The Mirror Has Two Faces,1996,6.5,47
26306,Prefontaine,1997,6.7,21
26352,A Low Down Dirty Shame,1994,6,31
26748,Lone Star,1996,6.9,77
27322,Love Jones,1997,8.1,12
29461,Soul Food,1997,6.6,19
34152,Crooklyn,1994,6.7,31
34314,Turbulence,1997,5.2,62
34941,The Last Time I Committed Suicide,1997,6.7,7
36355,Flipper,1996,5.3,84
36955,True Lies,1994,6.8,1116
37165,The Truman Show,1998,7.8,4537
37233,The Firm,1993,6.6,501
42807,The Newton Boys,1998,5.9,44
47502,Faithful,1996,4.8,4
61337,Critical Care,1997,6.1,9
61752,Girl 6,1996,5.7,16
63020,The Perez Family,1995,6.6,9
68924,The Ice Storm,1997,6.9,176
19995,Avatar,2009,7.2,11800
206647,Spectre,2015,6.3,4466
49026,The Dark Knight Rises,2012,7.6,9106
49529,John Carter,2012,6.1,2124
559,Spider-Man 3,2007,5.9,3576
38757,Tangled,2010,7.4,3330
99861,Avengers: Age of Ultron,2015,7.3,6767
767,Harry Potter and the Half-Blood Prince,2009,7.4,5293
209112,Batman v Superman: Dawn of Justice,2016,5.7,7004
1452,Superman Returns,2006,5.4,1400
10764,Quantum of Solace,2008,6.1,2965
57201,The Lone Ranger,2013,5.9,2311
49521,Man of Steel,2013,6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,2008,6.3,1630
41154,Men in Black 3,2012,6.2,4160
122917,The Hobbit: The Battle of the Five Armies,2014,7.1,4760
1930,The Amazing Spider-Man,2012,6.5,6586
20662,Robin Hood,2010,6.2,1398
57158,The Hobbit: The Desolation of Smaug,2013,7.6,4524
2268,The Golden Compass,2007,5.8,1303
254,King Kong,2005,6.6,2337
271110,Captain America: Civil War,2016,7.1,7241
135397,Jurassic World,2015,6.5,8662
37724,Skyfall,2012,6.9,7604
558,Spider-Man 2,2004,6.7,4321
12155,Alice in Wonderland,2010,6.4,4645
8373,Transformers: Revenge of the Fallen,2009,6,3138
91314,Transformers: Age of Extinction,2014,5.8,3095
68728,Oz: The Great and Powerful,2013,5.7,3530
102382,The Amazing Spider-Man 2,2014,6.5,4179
20526,TRON: Legacy,2010,6.3,2841
44912,Green Lantern,2011,5.1,2487
10193,Toy Story 3,2010,7.6,4597
534,Terminator Salvation,2009,5.9,2463
168259,Furious 7,2015,7.3,4176
72190,World War Z,2013,6.7,5560
54138,Star Trek Into Darkness,2013,7.4,4418
81005,Jack the Giant Slayer,2013,5.5,2598
64682,The Great Gatsby,2013,7.3,3769
9543,Prince of Persia: The Sands of Time,2010,6.2,2317
68726,Pacific Rim,2013,6.7,4794
38356,Transformers: Dark of the Moon,2011,6.1,3299
217,Indiana Jones and the Kingdom of the Crystal Skull,2008,5.7,2495
105864,The Good Dinosaur,2015,6.6,1736
62177,Brave,2012,6.7,4641
188927,Star Trek Beyond,2016,6.6,2568
10681,WALL·E,2008,7.8,6296
5174,Rush Hour 3,2007,6.1,783
14161,2012,2009,5.6,4903
17979,A Christmas Carol,2009,6.6,1095
76757,Jupiter Ascending,2015,5.2,2768
258489,The Legend of Tarzan,2016,5.5,2430
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.7,2629
155,The Dark Knight,2008,8.2,12002
14160,Up,2009,7.7,6870
15512,Monsters vs Aliens,2009,6,1423
44826,Hugo,2011,7,2141
8487,Wild Wild West,1999,5.1,1020
1735,The Mummy: Tomb of the Dragon Emperor,2008,5.2,1387
297761,Suicide Squad,2016,5.9,7458
2698,Evan Almighty,2007,5.3,1151
14869,G.I. Joe: The Rise of Cobra,2009,5.6,1962
150540,Inside Out,2015,8,6560
278927,The Jungle Book,2016,6.7,2892
58595,Snow White and the Huntsman,2012,5.8,3118
102651,Maleficent,2014,7,4496
119450,Dawn of the Planet of the Apes,2014,7.3,4410
79698,The Lovers,2015,4.8,34
64686,47 Ronin,2013,5.9,1326
100402,Captain America: The Winter Soldier,2014,7.6,5764
10192,Shrek Forever After,2010,6,1959
158852,Tomorrowland,2015,6.2,2846
177572,Big Hero 6,2014,7.8,6135
82690,Wreck-It Ralph,2012,7.1,4570
5255,The Polar Express,2004,6.4,1474
47933,Independence Day: Resurgence,2016,4.9,2491
10191,How to Train Your Dragon,2010,7.5,4227
296,Terminator 3: Rise of the Machines,2003,5.9,2143
118340,Guardians of the Galaxy,2014,7.9,9742
157336,Interstellar,2014,8.1,10867
27205,Inception,2010,8.1,13752
49051,The Hobbit: An Unexpected Journey,2012,7,8297
9799,The Fast and the Furious,2001,6.6,3428
4922,The Curious Case of Benjamin Button,2008,7.3,3292
