company_id,name,country,imdb_id,name_nf,name_sf,md5
1938,Scholastic Productions,,1938,SCHOLASTIC PRODUCTIONS,S423,2b121e7edea09c313dc3fbcc1f74dcaa
68,Big Primate Pictures,,68,BIG PRIMATE PICTURES,B216,c1e241cc9795833e89b9d8f0cc8ac904
69,MFPV Film,,69,MFPV FILM,M145,0f5369454e656b6e1703750d8839665c
264,Studio Babelsberg,,264,STUDIO BABELSBERG,S331,eeee857e9df06f7ea4ed948be10f8351
3036,Walt Disney Studios Motion Pictures,,3036,WALT DISNEY STUDIOS MOTION PICTURES,W432,b9edbc9c0f56b5ce228cb7f50fe2f6de
84424,Vita-Ray Dutch Productions (III),,84424,VITA-RAY DUTCH PRODUCTIONS (III),V363,8652e4a5a3a77894bf5739d404207ff1
84425,Deluxe Digital Studios,,84425,DELUXE DIGITAL STUDIOS,D423,567b439ffc146ea9e6ba4abb03b66b67
2598,Hasbro,,2598,HASBRO,H216,6d311e5d6d64c6a3706fc2158857d7e8
13778,Bluegrass Films,,13778,BLUEGRASS FILMS,B426,aa1b572f675410960dfbaf373b19cfc7
20153,Film 44,,20153,FILM 44,F450,545696870fd08816a8c14caaa56c7070
13,Universal Studios,,13,UNIVERSAL STUDIOS,U516,5db5d43558e7d3db556512efdd2968fa
3341,Fuji Television Network,,3341,FUJI TELEVISION NETWORK,F234,e57fe66e2f12483426d73671cc1d0b8d
6452,Dentsu,,6452,DENTSU,D532,5aaa20c7018c714774d4a370a2781ad0
598,Team Todd,,598,TEAM TODD,T533,1bdc2663bd7e11b971321ab917368f5d
8601,Tim Burton Productions,,8601,TIM BURTON PRODUCTIONS,T516,97e783bc192d2869ea91cd9d90aa424d
16314,Roth Films,,16314,ROTH FILMS,R314,3a4c81c895bbefee3fe31f1fe868d380
20004,"Zanuck Company, The",,20004,"ZANUCK COMPANY, THE",Z525,0fbfb345141496ad0c42085d39b86c99
431,Donners' Company,,431,DONNERS' COMPANY,D562,5ecca853c3a72c077f36391adf79a4a8
445,Major Studio Partners,,445,MAJOR STUDIO PARTNERS,M262,297d17c5f5bd56839fa398a34eb89924
12247,thinkfilm,,12247,THINKFILM,T521,94f4191080dde0d496b749e97694da70
79028,X3 Canada Productions,,79028,X3 CANADA PRODUCTIONS,X531,f6a07c1fd46553ae1f4a5e2bfa24df28
79029,X3US Productions,,79029,X3US PRODUCTIONS,X216,fe395c27974f78fa3959b684bede0821
79030,XM3 Service,,79030,XM3 SERVICE,X526,8bfa96de386c6dea33dc1b27c9be463d
3,Pixar Animation Studios,,3,PIXAR ANIMATION STUDIOS,P265,c8d4d872399cbe3a534ddabbd9d37a6e
27,DreamWorks SKG,,27,DREAMWORKS SKG,D656,bd91981c402262a9967c36888139734f
435,Di Bonaventura Pictures,,435,DI BONAVENTURA PICTURES,D151,ac81fe66e795404488ca824d28cf065b
2481,Platinum Dunes,,2481,PLATINUM DUNES,P435,fd20424485d4a2fcd7cd3387333ea5b5
22826,Hasbro Studios,,22826,HASBRO STUDIOS,H216,4a87a7b869b13efcf718fb467b243b25
11413,China Movie Channel,,11413,CHINA MOVIE CHANNEL,C551,6fde125be93c03dbab4f9b326f3af0b8
38833,Ian Bryce Productions,,38833,IAN BRYCE PRODUCTIONS,I516,56b24a4101b50320706bb0403ca57950
31828,Avi Arad Productions,,31828,AVI ARAD PRODUCTIONS,A163,78a691f07866fcb3254732b5be976d21
53462,Matt Tolmach Productions,,53462,MATT TOLMACH PRODUCTIONS,M345,ecb6925fde8d30e04e6e58ca3a88057b
7161,LivePlanet,,7161,LIVEPLANET,L114,cd032f88c58974397d06846427cefaf8
18713,Prana Studios,,18713,PRANA STUDIOS,P652,0f58a998329b45021471372ef90d2479
23791,Sean Bailey Productions,,23791,SEAN BAILEY PRODUCTIONS,S514,cdc256b8b5649e215bbff1be638419b7
