movie_id,genre_id
5,16
11,1
11,2
11,14
11,15
11,17
13,5
13,14
13,17
18,1
18,15
28,8
28,17
33,18
62,8
62,13
62,15
62,16
66,13
66,16
68,15
75,1
75,5
75,15
75,17
76,8
76,14
78,10
78,15
85,1
85,2
89,1
89,2
105,5
105,15
114,5
114,14
137,5
137,14
149,2
149,3
149,15
149,16
152,1
152,2
152,15
168,1
168,2
168,15
172,1
172,2
172,15
173,2
173,4
173,9
173,15
174,1
174,2
174,15
184,6
184,8
193,1
193,2
193,15
199,1
199,2
199,15
207,8
218,1
218,15
218,16
223,14
223,16
235,2
235,5
235,8
238,1
238,6
238,8
239,5
239,6
240,1
240,6
240,8
251,5
251,14
251,16
261,8
268,1
268,2
268,6
268,8
274,8
274,16
278,8
279,8
279,13
280,1
280,15
280,16
284,5
284,8
288,18
289,8
289,14
289,17
306,1
306,5
311,6
311,8
311,16
319,1
319,6
319,14
329,1
329,2
329,15
330,1
330,2
330,15
330,16
348,1
348,11
348,15
348,16
364,1
364,2
364,5
364,6
377,11
389,8
408,3
408,4
408,12
409,8
409,14
409,17
414,1
414,2
414,5
414,6
415,1
415,2
415,6
424,8
424,17
433,4
433,5
433,12
451,8
451,14
468,8
489,8
500,6
500,16
510,8
522,5
522,8
524,8
525,1
525,5
525,12
539,11
539,14
539,16
549,8
562,1
562,16
563,1
563,2
563,15
563,17
568,1
568,8
568,16
576,18
577,5
577,8
578,1
578,11
579,1
579,11
581,2
581,8
581,18
595,8
597,1
597,8
597,14
601,4
601,8
601,9
601,15
607,1
607,2
607,5
607,15
617,6
617,8
617,13
617,16
621,5
621,12
621,14
627,8
628,8
628,11
629,6
629,16
630,2
630,4
630,8
630,12
639,5
639,14
642,1
642,5
642,18
664,1
664,2
664,16
679,1
679,15
679,16
679,17
680,6
680,8
686,8
686,15
687,8
694,11
702,8
703,5
703,14
710,1
710,2
710,16
712,5
712,14
713,8
713,14
714,1
714,14
714,16
744,1
744,14
754,1
754,15
754,16
755,1
755,5
755,6
755,11
755,16
756,3
756,4
756,12
765,1
765,2
765,5
765,11
769,6
769,8
770,8
770,14
770,17
771,4
771,5
782,8
782,15
782,16
783,8
788,5
790,11
792,8
792,17
794,11
795,14
807,6
807,16
812,3
812,4
812,5
812,12
816,5
819,6
819,8
826,8
826,17
854,5
854,6
